Symbol,Name,Country,IPO,Sector,Industry
KRA,Kraton Corporation Common Stock,United States,2009.0,Basic Industries,Major Chemicals
KRC,Kilroy Realty Corporation Common Stock,United States,1997.0,Consumer Services,Real Estate Investment Trusts
KREF,KKR Real Estate Finance Trust Inc. Common Stock,United States,2017.0,Consumer Services,Real Estate Investment Trusts
KREF^A,KKR Real Estate Finance Trust Inc. 6.50% Series A Cumulative Redeemable Preferred Stock,United States,,,
KRG,Kite Realty Group Trust Common Stock,United States,2004.0,Consumer Services,Real Estate Investment Trusts
KRO,Kronos Worldwide Inc Common Stock,United States,,Basic Industries,Major Chemicals
KRP,Kimbell Royalty Partners Common Units Representing Limited Partner Interests,United States,2017.0,Energy,Oil & Gas Production
KSM,DWS Strategic Municipal Income Trust,United States,1989.0,Finance,Trusts Except Educational Religious and Charitable
KSS,Kohl's Corporation Common Stock,United States,1992.0,Consumer Services,Department/Specialty Retail Stores
KSU,Kansas City Southern Common Stock,United States,,Transportation,Railroads
KSU^,Kansas City Southern Preferred Stock,United States,,,
KT,KT Corporation Common Stock,South Korea,,Public Utilities,Telecommunications Equipment
KTB,Kontoor Brands Inc. Common Stock ,,2019.0,,
KTF,DWS Municipal Income Trust,United States,1988.0,Finance,Finance Companies
KTH,Structures Products Cp 8% CorTS Issued by Peco Energy Cap Tr II Preferred Stock,United States,,Finance,Investment Managers
KTN,Structured Products Corp 8.205% CorTS 8.205% Corporate Backed Trust Securities (CorTS),United States,,,
KUKE,Kuke Music Holding Limited American Depositary Shares each representing one Ordinary Share,,2021.0,Consumer Services,Other Consumer Services
KW,Kennedy-Wilson Holdings Inc. Common Stock,United States,,Consumer Services,Real Estate
KWAC,Kingswood Acquisition Corp. Class A Common Stock,,2021.0,,
KWR,Quaker Houghton Common Stock,United States,,Basic Industries,Automotive Aftermarket
KYN,Kayne Anderson Energy Infrastructure Fund Inc.,United States,2004.0,Finance,Finance/Investors Services
L,Loews Corporation Common Stock,United States,,Finance,Property-Casualty Insurers
LAC,Lithium Americas Corp. Common Shares,Canada,,,
LAD,Lithia Motors Inc. Common Stock,United States,,Consumer Services,Other Specialty Stores
LADR,Ladder Capital Corp Class A Common Stock,,2014.0,Consumer Services,Real Estate Investment Trusts
LAIX,LAIX Inc. American Depositary Shares each  representing one Class A Ordinary Share,,2018.0,Miscellaneous,Service to the Health Industry
LAW,CS Disco Inc. Common Stock,United States,2021.0,Technology,Computer Software: Prepackaged Software
LAZ,Lazard LTD. Lazard LTD. Class A Common Stock,Bermuda,2005.0,Finance,Investment Managers
LBRT,Liberty Oilfield Services Inc. Class A Common Stock,United States,2018.0,Energy,Oilfield Services/Equipment
LC,LendingClub Corporation Common Stock,United States,2014.0,Finance,Finance Companies
LCI,Lannett Co Inc Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
LCII,LCI Industries,United States,,Capital Goods,Auto Parts:O.E.M.
LDI,loanDepot Inc. Class A Common Stock,,2021.0,Finance,Finance: Consumer Services
LDOS,Leidos Holdings Inc. Common Stock,United States,,Technology,EDP Services
LDP,Cohen & Steers Limited Duration Preferred and Income Fund Inc.,United States,2012.0,Finance,Finance Companies
LEA,Lear Corporation Common Stock,United States,,Capital Goods,Auto Parts:O.E.M.
LEAP,Ribbit LEAP Ltd. Class A Ordinary Shares,United States,2020.0,Finance,Business Services
LEG,Leggett & Platt Incorporated Common Stock,United States,,Consumer Durables,Home Furnishings
LEJU,Leju Holdings Limited American Depositary Shares each representing one Ordinary share,,2014.0,Finance,Real Estate
LEN,Lennar Corporation Class A Common Stock,United States,,Consumer Services,Building operators
LEO,BNY Mellon Strategic Municipals Inc. Common Stock,United States,1987.0,Finance,Trusts Except Educational Religious and Charitable
LEV,The Lion Electric Company Common Shares,,2021.0,,
LEVI,Levi Strauss & Co Class A Common Stock,United States,2019.0,Basic Industries,Industrial Specialties
LFC,China Life Insurance Company Limited American Depositary Shares,China,2003.0,Finance,Life Insurance
LFG,Archaea Energy Inc. Class A Common Stock,United States,2020.0,,
LFT,Lument Finance Trust Inc. Common Stock,United States,2013.0,Consumer Services,Real Estate Investment Trusts
LFT^A,Lument Finance Trust Inc. 7.875% Series A Cumulative Redeemable Preferred Stock,United States,,,
LGI,Lazard Global Total Return and Income Fund Common Stock,United States,2004.0,,
LGV,Longview Acquisition Corp. II Class A Common Stock,,2021.0,,
LH,Laboratory Corporation of America Holdings Common Stock,United States,,Health Care,Medical Specialities
LHC,Leo Holdings Corp. II Class A Ordinary Shares,,2021.0,Finance,Business Services
LHX,L3Harris Technologies Inc. Common Stock,United States,,Capital Goods,Industrial Machinery/Components
LICY,Li-Cycle Holdings Corp. Common Shares,,2021.0,,
LII,Lennox International Inc. Common Stock,United States,1999.0,Capital Goods,Industrial Machinery/Components
LIN,Linde plc Ordinary Share,,2018.0,Basic Industries,Major Chemicals
LITB,LightInTheBox Holding Co. Ltd. American Depositary Shares each representing 2 ordinary shares,China,2013.0,Consumer Services,Catalog/Specialty Distribution
LL,Lumber Liquidators Holdings Inc Common Stock,United States,2007.0,Consumer Services,RETAIL: Building Materials
LLY,Eli Lilly and Company Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
LMND,Lemonade Inc. Common Stock,United States,2020.0,Finance,Property-Casualty Insurers
LMT,Lockheed Martin Corporation Common Stock,United States,,Capital Goods,Aerospace
LNC,Lincoln National Corporation Common Stock,United States,,Finance,Life Insurance
LND,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),Brazil,,,Farming/Seeds/Milling
LNFA,L&amp;F Acquisition Corp. Class A Ordinary Shares,United States,2021.0,Finance,Business Services
LNN,Lindsay Corporation Common Stock,United States,,Capital Goods,Industrial Machinery/Components
LOCC,Live Oak Crestview Climate Acquisition Corp. Class A Common Stock,,2021.0,,
LOCL,Local Bounti Corporation Common Stock,,2021.0,,
LOKM,Live Oak Mobility Acquisition Corp. Class A Common Stock,,2021.0,,
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,Argentina,2017.0,Capital Goods,Building Materials
LOW,Lowe's Companies Inc. Common Stock,United States,,Consumer Services,RETAIL: Building Materials
LPG,Dorian LPG Ltd. Common Stock,,2014.0,Transportation,Marine Transportation
LPI,Laredo Petroleum Inc. Common Stock,United States,2011.0,Energy,Oil & Gas Production
LPL,LG Display Co Ltd AMERICAN DEPOSITORY SHARES,South Korea,2004.0,Capital Goods,Industrial Machinery/Components
LPX,Louisiana-Pacific Corporation Common Stock,United States,,,
LRN,Stride Inc. Common Stock,United States,,Miscellaneous,Other Consumer Services
LSI,Life Storage Inc. Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
LSPD,Lightspeed Commerce Inc. Subordinate Voting Shares,,,,
LTC,LTC Properties Inc. Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
LTH,Life Time Group Holdings Inc. Common Stock,,2021.0,Consumer Services,Hotels/Resorts
LTHM,Livent Corporation Common Stock,United States,2018.0,Basic Industries,Industrial Specialties
LU,Lufax Holding Ltd American Depositary Shares two of which representing one Ordinary Share,China,2020.0,Finance,Finance: Consumer Services
LUB,Luby's Inc. Common Stock,United States,,Consumer Services,Restaurants
LUMN,Lumen Technologies Inc. Common Stock,United States,,Public Utilities,Telecommunications Equipment
LUV,Southwest Airlines Company Common Stock,United States,,Transportation,Air Freight/Delivery Services
LVS,Las Vegas Sands Corp. Common Stock,United States,2004.0,Consumer Services,Hotels/Resorts
LW,Lamb Weston Holdings Inc. Common Stock ,,2016.0,Consumer Non-Durables,Specialty Foods
LXP,Lexington Realty Trust Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
LXP^C,Lexington Realty Trust  Preferred Conv. Series C,United States,,,
LXU,LSB Industries Inc. Common Stock,United States,,Basic Industries,Industrial Specialties
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),Netherlands,,Basic Industries,Major Chemicals
LYG,Lloyds Banking Group Plc American Depositary Shares,United Kingdom,,Finance,Commercial Banks
LYV,Live Nation Entertainment Inc. Common Stock,United States,,Consumer Services,Movies/Entertainment
LZB,La-Z-Boy Incorporated Common Stock,United States,,Consumer Durables,Home Furnishings
M,Macy's Inc Common Stock,United States,,Consumer Services,Department/Specialty Retail Stores
MA,Mastercard Incorporated Common Stock,United States,2006.0,Miscellaneous,Business Services
MAA,Mid-America Apartment Communities Inc. Common Stock,United States,1994.0,Consumer Services,Real Estate Investment Trusts
MAA^I,Mid-America Apartment Communities Inc. 8.50% Series I Cumulative Redeemable Preferred Stock,United States,,,
MAC,Macerich Company (The) Common Stock,United States,1994.0,Consumer Services,Real Estate Investment Trusts
MACC,Mission Advancement Corp. Class A Common Stock,,2021.0,,
MAIN,Main Street Capital Corporation Common Stock,United States,2007.0,Finance,Finance/Investors Services
MAN,ManpowerGroup Common Stock,United States,,Technology,Professional Services
MANU,Manchester United Ltd. Class A Ordinary Shares,United Kingdom,2012.0,Consumer Services,Movies/Entertainment
MAS,Masco Corporation Common Stock,United States,,Capital Goods,Building Products
MATX,Matson Inc. Common Stock,United States,,Transportation,Marine Transportation
MAV,Pioneer Municipal High Income Advantage Fund Inc.,United States,,Finance,Finance Companies
MAX,MediaAlpha Inc. Class A Common Stock,,2020.0,Capital Goods,Industrial Machinery/Components
MAXR,Maxar Technologies Inc.,,,Capital Goods,Telecommunications Equipment
MBAC,M3-Brigade Acquisition II Corp. Class A Common Stock,,2021.0,,
MBI,MBIA Inc. Common Stock,United States,1987.0,Finance,Property-Casualty Insurers
MBT,Mobile TeleSystems Public Joint Stock Company American Depositary Shares (Each representing 2 Shares of Common Stock),Russia,,Public Utilities,Telecommunications Equipment
MC,Moelis & Company Class A Common Stock,,2014.0,Finance,Investment Bankers/Brokers/Service
MCA,Blackrock MuniYield California Quality Fund Inc. Common Stock,United States,1992.0,Finance,Trusts Except Educational Religious and Charitable
MCB,Metropolitan Bank Holding Corp. Common Stock,,2017.0,Finance,Major Banks
MCD,McDonald's Corporation Common Stock,United States,,Consumer Services,Restaurants
MCG,Membership Collective Group Inc. Class A Common Stock,,2021.0,Consumer Services,Hotels/Resorts
MCI,Barings Corporate Investors Common Stock,United States,,Finance,Trusts Except Educational Religious and Charitable
MCK,McKesson Corporation Common Stock,United States,,Health Care,Other Pharmaceuticals
MCN,Madison Covered Call & Equity Strategy Fund Common Stock,United States,2004.0,,
MCO,Moody's Corporation Common Stock,United States,,Technology,Advertising
MCR,MFS Charter Income Trust Common Stock,United States,1989.0,Finance,Trusts Except Educational Religious and Charitable
MCS,Marcus Corporation (The) Common Stock,United States,,Consumer Services,Movies/Entertainment
MCW,Mister Car Wash Inc. Common Stock,,2021.0,,
MCY,Mercury General Corporation Common Stock,United States,,Finance,Property-Casualty Insurers
MD,Mednax Inc. Common Stock,United States,,Health Care,Medical Specialities
MDC,M.D.C. Holdings Inc. Common Stock,United States,,Capital Goods,Homebuilding
MDH,MDH Acquisition Corp. Class A Common Stock,,2021.0,,
MDP,Meredith Corporation Common Stock,United States,,Consumer Services,Newspapers/Magazines
MDT,Medtronic plc. Ordinary Shares,United States,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MDU,MDU Resources Group Inc. Common Stock (Holding Company),United States,,,
MDVA,Modiv Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,,2021.0,Consumer Services,Real Estate Investment Trusts
MEC,Mayville Engineering Company Inc. Common Stock,,2019.0,Capital Goods,Metal Fabrications
MED,MEDIFAST INC Common Stock,United States,,Miscellaneous,Other Consumer Services
MEG,Montrose Environmental Group Inc. Common Stock,United States,2020.0,,
MEGI,MainStay CBRE Global Infrastructure Megatrends Fund Common Shares,,2021.0,,
MEI,Methode Electronics Inc. Common Stock,United States,,Capital Goods,Electrical Products
MER^K,Bank of America Corporation Income Capital Obligation Notes initially due December 15 2066,United States,,,
MET,MetLife Inc. Common Stock,United States,2000.0,Finance,Life Insurance
MET^A,MetLife Inc. Preferred Series A Floating Rate,United States,,,
MET^E,MetLife Inc. Depositary shares each representing a 1/1000th interest in a share of the Issuera??s 5.625% Non-Cumulative Preferred Stock Series E.,United States,,,
MET^F,MetLife Inc. Depositary Shares each representing a 1/1000th interest in a share of 4.75% Non-Cumulative Preferred Stock Series F,United States,,,
MFA,MFA Financial Inc.,United States,,Consumer Services,Real Estate Investment Trusts
MFA^B,MFA Financial Inc. Preferred Series B,United States,,,
MFA^C,MFA Financial Inc. 6.50% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,,
MFC,Manulife Financial Corporation Common Stock,Canada,,Technology,Advertising
MFD,Macquarie First Trust Global Common Stock,United States,2004.0,Finance,Trusts Except Educational Religious and Charitable
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),Japan,,Finance,Major Banks
MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh,,2017.0,Technology,Computer Software: Prepackaged Software
MFL,Blackrock MuniHoldings Investment Quality Fund Common Shares of Beneficial Interest,United States,1997.0,Finance,Finance Companies
MFM,MFS Municipal Income Trust Common Stock,United States,1986.0,Finance,Finance Companies
MFV,MFS Special Value Trust Common Stock,United States,,Finance,Trusts Except Educational Religious and Charitable
MG,Mistras Group Inc Common Stock,United States,2009.0,Miscellaneous,Diversified Manufacture
MGA,Magna International Inc. Common Stock,Canada,,Capital Goods,Auto Parts:O.E.M.
MGF,MFS Government Markets Income Trust Common Stock,United States,1987.0,Finance,Trusts Except Educational Religious and Charitable
MGM,MGM Resorts International Common Stock,United States,,Consumer Services,Hotels/Resorts
MGP,MGM Growth Properties LLC Class A common shares representing limited liability company interests,United States,2016.0,Consumer Services,Real Estate Investment Trusts
MGR,Affiliated Managers Group Inc. 5.875% Junior Subordinated Notes due 2059,United States,2019.0,Finance,Investment Managers
MGRB,Affiliated Managers Group Inc. 4.750% Junior Subordinated Notes due 2060,United States,2020.0,Finance,Investment Managers
MGRD,Affiliated Managers Group Inc. 4.200% Junior Subordinated Notes due 2061,United States,2021.0,Finance,Investment Managers
MGU,Macquarie Global Infrastructure Total Return Fund Inc. Common Stock,United States,2005.0,Finance,Trusts Except Educational Religious and Charitable
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,United States,2017.0,Energy,Oil & Gas Production
MH^A,Maiden Holdings Ltd. Pref Shs Ser A (Bermuda),Bermuda,,,
MH^C,Maiden Holdings North America Ltd. 7.125% Non-Cumulative Preference Shares Series C,Bermuda,,,
MH^D,Maiden Holdings Ltd. 6.700% Non-Cumulative Preference Shares Series D,Bermuda,,,
MHD,Blackrock MuniHoldings Fund Inc. Common Stock,United States,1997.0,Finance,Trusts Except Educational Religious and Charitable
MHF,Western Asset Municipal High Income Fund Inc. Common Stock,United States,1988.0,Finance,Finance/Investors Services
MHI,Pioneer Municipal High Income Fund Inc.,United States,2003.0,Finance,Investment Managers
MHK,Mohawk Industries Inc. Common Stock,United States,,Consumer Durables,Home Furnishings
MHLA,Maiden Holdings Ltd. 6.625% Notes due 2046,Bermuda,2016.0,Finance,Property-Casualty Insurers
MHN,Blackrock MuniHoldings New York Quality Fund Inc. Common Stock,United States,1997.0,Finance,Finance Companies
MHNC,Maiden Holdings North America Ltd. 7.75% Notes due 2043,Bermuda,2013.0,Finance,Property-Casualty Insurers
MHO,M/I Homes Inc. Common Stock,United States,1993.0,Capital Goods,Homebuilding
MIC,Macquarie Infrastructure Holdings LLC Common Unit,United States,2004.0,Transportation,Aerospace
MIN,MFS Intermediate Income Trust Common Stock,United States,1988.0,Finance,Trusts Except Educational Religious and Charitable
MIO,Pioneer Municipal High Income Opportunities Fund Inc. Common Stock,,2021.0,,
MIR,Mirion Technologies Inc. Class A Common Stock,United States,2020.0,Technology,Industrial Machinery/Components
MIT,Mason Industrial Technology Inc. Class A Common Stock,,2021.0,,
MITT,AG Mortgage Investment Trust Inc. Common Stock,United States,2011.0,Consumer Services,Real Estate Investment Trusts
MITT^A,AG Mortgage Investment Trust Inc. 8.25% Preferred Series A,United States,,,
MITT^B,AG Mortgage Investment Trust Inc. Preferred Series B,United States,,,
MITT^C,AG Mortgage Investment Trust Inc. 8.00% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,United States,,,
MIXT,MiX Telematics Limited American Depositary Shares each representing 25 Ordinary Shares,South Africa,2013.0,Technology,Computer Software: Prepackaged Software
MIY,Blackrock MuniYield Michigan Quality Fund Inc. Common Stock,United States,1992.0,Finance,Finance Companies
MKC,McCormick & Company Incorporated Common Stock,United States,,Consumer Non-Durables,Farming/Seeds/Milling
MKFG,Markforged Holding Corporation Common Stock,United States,2020.0,Technology,Retail: Computer Software & Peripheral Equipment
MKL,Markel Corporation Common Stock,United States,1986.0,Finance,Property-Casualty Insurers
ML,MoneyLion Inc. Class A Common Stock,United States,2020.0,Technology,Retail: Computer Software & Peripheral Equipment
MLI,Mueller Industries Inc. Common Stock,United States,,Basic Industries,Metal Fabrications
MLM,Martin Marietta Materials Inc. Common Stock,United States,1994.0,Capital Goods,Building Materials
MLNK,MeridianLink Inc. Common Stock,,2021.0,,
MLP,Maui Land & Pineapple Company Inc. Common Stock,United States,,Finance,Real Estate
MLR,Miller Industries Inc. Common Stock,United States,,Capital Goods,Construction/Ag Equipment/Trucks
MMC,Marsh & McLennan Companies Inc. Common Stock,United States,,Finance,Specialty Insurers
MMD,MainStay MacKay DefinedTerm Municipal Opportunities Fund,United States,2012.0,Finance,Investment Managers
MMI,Marcus & Millichap Inc. Common Stock,,2013.0,Finance,Real Estate
MMM,3M Company Common Stock,United States,,,
MMP,Magellan Midstream Partners L.P. Limited Partnership,United States,,Energy,Oil & Gas Production
MMS,Maximus Inc. Common Stock,United States,1997.0,Miscellaneous,Business Services
MMT,MFS Multimarket Income Trust Common Stock,United States,1987.0,Finance,Trusts Except Educational Religious and Charitable
MMU,Western Asset Managed Municipals Fund Inc. Common Stock,United States,1992.0,Finance,Investment Managers
MN,Manning & Napier Inc. Class A Common Stock,United States,2011.0,Finance,Investment Managers
MNP,Western Asset Municipal Partners Fund Inc. Common Stock,United States,1993.0,Finance,Trusts Except Educational Religious and Charitable
MNR,Monmouth Real Estate Investment Corporation Class A Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
MNR^C,Monmouth Real Estate Investment Corporation 6.125% Series C Cumulative Redeemable Preferred Stock,United States,,,
MNRL,Brigham Minerals Inc. Class A Common Stock,,2019.0,Energy,Oil & Gas Production
MNSO,MINISO Group Holding Limited American Depositary Shares each representing four Class A Ordinary Shares,China,2020.0,Consumer Services,Department/Specialty Retail Stores
MO,Altria Group Inc.,United States,,Consumer Non-Durables,Farming/Seeds/Milling
MOD,Modine Manufacturing Company Common Stock,United States,,Capital Goods,Auto Parts:O.E.M.
MODN,Model N Inc. Common Stock,United States,2013.0,Technology,EDP Services
MOGU,MOGU Inc. American Depositary Shares (each  representing 25 Class A Ordinary Shares),,2018.0,Miscellaneous,Business Services
MOH,Molina Healthcare Inc Common Stock,United States,2003.0,Health Care,Medical Specialities
MOS,Mosaic Company (The) Common Stock,United States,,Basic Industries,Agricultural Chemicals
MOTV,Motive Capital Corp Class A Ordinary Shares,,2021.0,Finance,Business Services
MOV,Movado Group Inc. Common Stock,United States,,Consumer Non-Durables,Consumer Specialties
MP,MP Materials Corp. Common Stock,,2020.0,Basic Industries,Metal Mining
MPA,Blackrock MuniYield Pennsylvania Quality Fund Common Stock,United States,1992.0,Finance,Finance Companies
MPC,Marathon Petroleum Corporation Common Stock,United States,,Energy,Integrated oil Companies
MPLN,MultiPlan Corporation Class A Common Stock,,2020.0,Health Care,Medical Specialities
MPLX,MPLX LP Common Units Representing Limited Partner Interests,United States,2012.0,Energy,Oil & Gas Production
MPV,Barings Participation Investors Common Stock,United States,1988.0,Finance,Finance Companies
MPW,Medical Properties Trust Inc. common stock,United States,2005.0,Consumer Services,Real Estate Investment Trusts
MPX,Marine Products Corporation Common Stock,United States,,Consumer Non-Durables,Recreational Products/Toys
MQT,Blackrock MuniYield Quality Fund II Inc. Common Stock,United States,1992.0,Finance,Investment Managers
MQY,Blackrock MuniYield Quality Fund Inc. Common Stock,United States,1992.0,Finance,Investment Managers
MRC,MRC Global Inc. Common Stock,United States,2012.0,Capital Goods,Fluid Controls
MRK,Merck & Company Inc. Common Stock (new),United States,,Health Care,Biotechnology: Pharmaceutical Preparations
MRO,Marathon Oil Corporation Common Stock,United States,,Energy,Oil & Gas Production
MS,Morgan Stanley Common Stock,United States,,Finance,Investment Bankers/Brokers/Service
MS^A,Morgan Stanley Dep Shs repstg 1/1000 Pfd Ser A,United States,,,
MS^E,Morgan Stanley DEPOSITARY SHARES REP 1/1000TH SHARES FIXED/FLTG PREFERRED STOCK SERIES E,United States,,,
MS^F,Morgan Stanley Dep Shs Rpstg 1/1000th Int Prd Ser F Fxd to Flag,United States,,,
